,ID,First Name,Email,Gender,City,Created,Academic Year,Company Name/ College Name,Would you like to know more about us and our programs?,Are you interested in knowing more about our events?,Have you recommended Cloud Counselage to anyone?,How did you come to know about this event?,Branch,College,Month,Year,Year of Graduation
112,67842,Zaid,zaid@xyz.com,,,2022-02-24 20:25:06,0,,yes,yes,no,,,,2,2022, 
114,67838,Leah,leah@xyz.com,,,2022-02-24 20:22:21,0,,yes,yes,no,,,,2,2022, 
115,67836,Simran,simran@xyz.com,,,2022-02-24 20:20:17,0,,yes,yes,no,,,,2,2022, 
116,67834,Puja,puja@xyz.com,,,2022-02-24 20:19:08,0,,yes,yes,no,,,,2,2022, 
118,67830,Kapil,kapil@xyz.com,,,2022-02-24 20:15:56,0,,yes,yes,no,,,,2,2022, 
119,67828,Harish,harish@xyz.com,,,2022-02-24 20:15:32,0,,yes,yes,no,,,,2,2022, 
120,67826,Pallavi ,pallavi@xyz.com,,,2022-02-24 20:15:24,0,,yes,yes,no,,,,2,2022, 
121,67824,Himani ,himani@xyz.com,,,2022-02-24 20:14:42,0,,yes,yes,no,,,,2,2022, 
122,67822,Neeta,neeta@xyz.com,,,2022-02-24 20:13:00,0,,yes,yes,no,,,,2,2022, 
123,67820,Sachi,sachi@xyz.com,,,2022-02-24 20:13:00,0,,yes,yes,no,,,,2,2022, 
124,67818,Rupali Ramteke,rupaliramteke@xyz.com,,,2022-02-24 20:11:23,0,,yes,yes,no,,,,2,2022, 
125,67816,Diksha,diksha@xyz.com,,,2022-02-24 20:10:47,0,,yes,yes,no,,,,2,2022, 
126,67814,Yogita,yogita@xyz.com,,,2022-02-24 12:17:00,0,,yes,yes,no,,,,2,2022, 
127,67812,Bhagyashri,bhagyashri@xyz.com,,,2022-02-22 22:18:39,0,,yes,yes,no,,,,2,2022, 
128,67810,shashank,shashank@xyz.com,,,2022-02-22 18:17:17,0,,yes,yes,no,,,,2,2022, 
131,67804,Chetansingh,chetansingh@xyz.com,,,2022-02-20 23:22:59,0,,yes,yes,no,,,,2,2022, 
132,67802,Anjalee,anjalee@xyz.com,,,2022-02-20 23:14:30,0,,yes,yes,no,,,,2,2022, 
134,67798,Kajal,kajal@xyz.com,,,2022-02-20 23:07:33,0,,yes,yes,no,,,,2,2022, 
135,67796,Aditya,aditya@xyz.com,,,2022-02-20 23:04:33,0,,yes,yes,no,,,,2,2022, 
136,67794,Pratik,pratik@xyz.com,,,2022-02-20 23:04:21,0,,yes,yes,no,,,,2,2022, 
137,67792,Sonal,sonal@xyz.com,,,2022-02-20 23:02:55,0,,yes,yes,no,,,,2,2022, 
139,67788,Sagar,sagar@xyz.com,,,2022-02-20 23:01:45,0,,yes,yes,no,,,,2,2022, 
141,67784,Joston Movin,jostonmovin@xyz.com,,,2022-02-20 22:56:58,0,,yes,yes,no,,,,2,2022, 
142,67782,Himanshu,himanshu@xyz.com,,,2022-02-19 22:38:44,0,,yes,yes,no,,,,2,2022, 
143,67780,Anushka,anushka@xyz.com,,,2022-02-19 18:55:44,0,,yes,yes,no,,,,2,2022, 
144,67778,savio,savio@xyz.com,,,2022-02-19 15:15:47,0,,yes,yes,no,,,,2,2022, 
145,67776,Hussain,hussain@xyz.com,,,2022-02-19 14:58:36,0,,yes,yes,no,,,,2,2022, 
146,67774,Aaron,aaron@xyz.com,,,2022-02-19 14:57:37,0,,yes,yes,no,,,,2,2022, 
147,67772,Darsh,darsh@xyz.com,,,2022-02-19 14:54:41,0,,yes,yes,no,,,,2,2022, 
148,67770,Rajkumar,rajkumar@xyz.com,,,2022-02-19 14:36:14,0,,yes,yes,no,,,,2,2022, 
149,67768,Rushikesh ,rushikesh@xyz.com,,,2022-02-17 12:26:33,0,,yes,yes,no,,,,2,2022, 
151,67764,Mona ,mona@xyz.com,,,2022-02-16 11:16:32,0,,yes,yes,no,,,,2,2022, 
154,67758,Aatif,aatif@xyz.com,,,2022-02-14 19:40:46,0,,yes,yes,no,,,,2,2022, 
156,67754,Vaibhav,vaibhav@xyz.com,,,2022-02-14 19:37:29,0,,yes,yes,no,,,,2,2022, 
157,67752,Swapnali,swapnali@xyz.com,,,2022-02-13 20:42:41,0,,yes,yes,no,,,,2,2022, 
158,67750,Manish,manish@xyz.com,,,2022-02-13 13:19:22,0,,yes,yes,no,,,,2,2022, 
161,67716,VARAD,varad@xyz.com,,,2022-01-22 17:03:16,0,,yes,yes,no,,,,1,2022, 
162,67714,Pradeep,pradeep@xyz.com,,,2022-01-15 22:54:09,0,,yes,yes,no,,,,1,2022, 
163,67712,ASHUTOSH KUMAR,ashutoshkumar@xyz.com,,,2022-01-13 17:47:16,0,,yes,yes,no,,,,1,2022, 
164,67508,SANKET,sanket@xyz.com,,,2021-11-29 13:16:58,0,,yes,yes,no,,,,11,2021, 
167,67502,Abhishek ,abhishek@xyz.com,,,2021-11-29 13:09:26,0,,yes,yes,no,,,,11,2021, 
170,67496,Germano,germano@xyz.com,,,2021-11-29 10:15:39,0,,yes,yes,no,,,,11,2021, 
171,67494,Priyanka ,priyanka@xyz.com,,,2021-11-27 15:41:07,0,,yes,yes,no,,,,11,2021, 
172,67492,Shk ,shk@xyz.com,,,2021-11-27 14:06:07,0,,yes,yes,no,,,,11,2021, 
173,67490,Shivsagar ,shivsagar@xyz.com,,,2021-11-27 13:50:51,0,,yes,yes,no,,,,11,2021, 
176,67484,PRAMOD,pramod@xyz.com,,,2021-11-27 10:02:24,0,,yes,yes,no,,,,11,2021, 
177,67482,Samiksha,samiksha@xyz.com,,,2021-11-27 10:02:06,0,,yes,yes,no,,,,11,2021, 
178,67480,Rucha,rucha@xyz.com,,,2021-11-26 20:40:07,0,,yes,yes,no,,,,11,2021, 
179,67478,Shiny ,shiny@xyz.com,,,2021-11-26 16:16:46,0,,yes,yes,no,,,,11,2021, 
180,67476,Darshan ,darshan@xyz.com,,,2021-11-26 16:10:30,0,,yes,yes,no,,,,11,2021, 
181,67474,Ankita,ankita@xyz.com,,,2021-11-26 11:26:35,0,,yes,yes,no,,,,11,2021, 
183,67470,Ritik ,ritik@xyz.com,,,2021-11-26 11:13:56,0,,yes,yes,no,,,,11,2021, 
184,67468,Snehal,snehal@xyz.com,,,2021-11-26 11:12:03,0,,yes,yes,no,,,,11,2021, 
185,67466,Vedant,vedant@xyz.com,,,2021-11-26 11:08:48,0,,yes,yes,no,,,,11,2021, 
186,67464,Lisban ,lisban@xyz.com,,,2021-11-26 11:04:44,0,,yes,yes,no,,,,11,2021, 
187,67462,Philip,philip@xyz.com,,,2021-11-26 11:01:46,0,,yes,yes,no,,,,11,2021, 
189,67458,Rea,rea@xyz.com,,,2021-11-26 09:59:26,0,,yes,yes,no,,,,11,2021, 
191,67454,Mahima,mahima@xyz.com,,,2021-11-26 09:26:53,0,,yes,yes,no,,,,11,2021, 
192,67452,Sufiyan,sufiyan@xyz.com,,,2021-11-26 00:26:07,0,,yes,yes,no,,,,11,2021, 
193,67450,Shaktivel,shaktivel@xyz.com,,,2021-11-25 23:47:48,0,,yes,yes,no,,,,11,2021, 
195,67446,Rajashree,rajashree@xyz.com,,,2021-11-25 21:57:02,0,,yes,yes,no,,,,11,2021, 
196,67444,Noemi,noemi@xyz.com,,,2021-11-25 21:38:46,0,,yes,yes,no,,,,11,2021, 
197,67442,Hrishi,hrishi@xyz.com,,,2021-11-25 21:37:28,0,,yes,yes,no,,,,11,2021, 
198,67440,Lipika ,lipika@xyz.com,,,2021-11-25 21:08:54,0,,yes,yes,no,,,,11,2021, 
199,67438,Payal ,payal@xyz.com,,,2021-11-25 20:09:42,0,,yes,yes,no,,,,11,2021, 
200,67436,akanksha,akanksha@xyz.com,,,2021-11-25 20:09:32,0,,yes,yes,no,,,,11,2021, 
202,67432,Shital,shital@xyz.com,,,2021-11-25 20:03:23,0,,yes,yes,no,,,,11,2021, 
203,67430,Ajinkya,ajinkya@xyz.com,,,2021-11-25 19:26:16,0,,yes,yes,no,,,,11,2021, 
204,67428,Sapana,sapana@xyz.com,,,2021-11-25 19:19:29,0,,yes,yes,no,,,,11,2021, 
205,67426,Prathit,prathit@xyz.com,,,2021-11-25 18:00:16,0,,yes,yes,no,,,,11,2021, 
207,67422,MAHESH,mahesh@xyz.com,,,2021-11-25 17:38:38,0,,yes,yes,no,,,,11,2021, 
209,67418,Avijit,avijit@xyz.com,,,2021-11-25 17:19:14,0,,yes,yes,no,,,,11,2021, 
210,67416,Shrikant,shrikant@xyz.com,,,2021-11-25 17:17:38,0,,yes,yes,no,,,,11,2021, 
211,67414,Madhumita,madhumita@xyz.com,,,2021-11-25 17:05:35,0,,yes,yes,no,,,,11,2021, 
212,67412,Aznan,aznan@xyz.com,,,2021-11-25 17:01:36,0,,yes,yes,no,,,,11,2021, 
215,67406,Anaida,anaida@xyz.com,,,2021-11-25 16:53:04,0,,yes,yes,no,,,,11,2021, 
218,67400,Medha,medha@xyz.com,,,2021-11-25 16:30:32,0,,yes,yes,no,,,,11,2021, 
222,67392,Louis,louis@xyz.com,,,2021-11-25 16:19:21,0,,yes,yes,no,,,,11,2021, 
223,67390,Manisha,manisha@xyz.com,,,2021-11-25 16:16:18,0,,yes,yes,no,,,,11,2021, 
225,67386,Parag,parag@xyz.com,,,2021-11-25 16:12:38,0,,yes,yes,no,,,,11,2021, 
227,67382,Dhanashri,dhanashri@xyz.com,,,2021-11-25 16:12:02,0,,yes,yes,no,,,,11,2021, 
229,67378,Asmita,asmita@xyz.com,,,2021-11-25 16:09:03,0,,yes,yes,no,,,,11,2021, 
230,67376,Raghav,raghav@xyz.com,,,2021-11-25 16:08:54,0,,yes,yes,no,,,,11,2021, 
233,67370,Sharvari,sharvari@xyz.com,,,2021-11-25 16:07:04,0,,yes,yes,no,,,,11,2021, 
234,67368,Ishika,ishika@xyz.com,,,2021-11-25 16:06:16,0,,yes,yes,no,,,,11,2021, 
235,67366,Bhavana,bhavana@xyz.com,,,2021-11-25 16:05:18,0,,yes,yes,no,,,,11,2021, 
236,67364,नाईक तेजस,नाईकतेजस@xyz.com,,,2021-11-25 16:03:40,0,,yes,yes,no,,,,11,2021, 
238,67360,Ninaad,ninaad@xyz.com,,,2021-11-25 16:03:13,0,,yes,yes,no,,,,11,2021, 
240,67356,Amey,amey@xyz.com,,,2021-11-25 16:02:01,0,,yes,yes,no,,,,11,2021, 
241,67354,Aiman,aiman@xyz.com,,,2021-11-25 16:01:11,0,,yes,yes,no,,,,11,2021, 
242,67352,Hitesha,hitesha@xyz.com,,,2021-11-25 15:57:49,0,,yes,yes,no,,,,11,2021, 
246,67344,Allan,allan@xyz.com,,,2021-11-25 15:40:00,0,,yes,yes,no,,,,11,2021, 
247,67342,Swastik ,swastik@xyz.com,,,2021-11-25 15:38:08,0,,yes,yes,no,,,,11,2021, 
248,67340,zobia,zobia@xyz.com,,,2021-11-25 15:36:25,0,,yes,yes,no,,,,11,2021, 
249,67338,Monika,monika@xyz.com,,,2021-11-25 15:35:11,0,,yes,yes,no,,,,11,2021, 
251,67334,Janavi,janavi@xyz.com,,,2021-11-25 15:33:48,0,,yes,yes,no,,,,11,2021, 
252,67332,Carson,carson@xyz.com,,,2021-11-25 15:32:34,0,,yes,yes,no,,,,11,2021, 
253,67330,Benita,benita@xyz.com,,,2021-11-25 15:32:31,0,,yes,yes,no,,,,11,2021, 
254,67328,Gouri,gouri@xyz.com,,,2021-11-25 15:32:29,0,,yes,yes,no,,,,11,2021, 
255,67326,Akshata,akshata@xyz.com,,,2021-11-25 15:32:23,0,,yes,yes,no,,,,11,2021, 
256,67324,Prafulla,prafulla@xyz.com,,,2021-11-25 15:31:38,0,,yes,yes,no,,,,11,2021, 
258,67320,SIDDHESH,siddhesh@xyz.com,,,2021-11-24 18:22:39,0,,yes,yes,no,,,,11,2021, 
259,67318,Ramhari,ramhari@xyz.com,,,2021-11-24 18:22:22,0,,yes,yes,no,,,,11,2021, 
262,67312,Sayali,sayali@xyz.com,,,2021-11-22 11:01:27,0,,yes,yes,no,,,,11,2021, 
264,67308,Santosh,santosh@xyz.com,,,2021-11-19 16:42:18,0,,yes,yes,no,,,,11,2021, 
265,67306,Bhimashankar,bhimashankar@xyz.com,,,2021-11-19 13:41:00,0,,yes,yes,no,,,,11,2021, 
266,67304,Sakshi,sakshi@xyz.com,,,2021-11-18 13:28:33,0,,yes,yes,no,,,,11,2021, 
267,67302,Dipika,dipika@xyz.com,,,2021-11-17 22:17:18,0,,yes,yes,no,,,,11,2021, 
268,67300,Sudhir,sudhir@xyz.com,,,2021-11-16 13:15:13,0,,yes,yes,no,,,,11,2021, 
269,67298,Lalita,lalita@xyz.com,,,2021-11-16 12:24:31,0,,yes,yes,no,,,,11,2021, 
270,67296,VAIBHAVI,vaibhavi@xyz.com,,,2021-11-16 11:35:43,0,,yes,yes,no,,,,11,2021, 
272,67292,revati,revati@xyz.com,,,2021-11-16 09:15:42,0,,yes,yes,no,,,,11,2021, 
275,67286,Sandesh,sandesh@xyz.com,,,2021-11-15 18:13:05,0,,yes,yes,no,,,,11,2021, 
276,67284,Ashwathi,ashwathi@xyz.com,,,2021-11-15 17:04:27,0,,yes,yes,no,,,,11,2021, 
277,67282,Pradnya ,pradnya@xyz.com,,,2021-11-15 17:04:08,0,,yes,yes,no,,,,11,2021, 
278,67280,Suhas,suhas@xyz.com,,,2021-11-15 16:53:29,0,,yes,yes,no,,,,11,2021, 
281,67272,Mayur,mayur@xyz.com,,,2021-11-15 15:04:57,0,,yes,yes,no,,,,11,2021, 
282,67270,Nashra,nashra@xyz.com,,,2021-11-15 09:34:05,0,,yes,yes,no,,,,11,2021, 
283,67268,Poonam,poonam@xyz.com,,,2021-11-14 20:05:54,0,,yes,yes,no,,,,11,2021, 
284,67266,Ramita,ramita@xyz.com,,,2021-11-14 18:38:38,0,,yes,yes,no,,,,11,2021, 
285,67264,Manoj,manoj@xyz.com,,,2021-11-13 16:41:34,0,,yes,yes,no,,,,11,2021, 
286,67262,Bhushan,bhushan@xyz.com,,,2021-11-13 12:30:22,0,,yes,yes,no,,,,11,2021, 
287,67260,Ganesh,ganesh@xyz.com,,,2021-11-13 11:28:26,0,,yes,yes,no,,,,11,2021, 
288,67258,Dudhat,dudhat@xyz.com,,,2021-11-13 10:51:05,0,,yes,yes,no,,,,11,2021, 
289,67256,DHRUV,dhruv@xyz.com,,,2021-11-13 10:38:33,0,,yes,yes,no,,,,11,2021, 
291,67252,Dipiaka,dipiaka@xyz.com,,,2021-11-13 00:08:58,0,,yes,yes,no,,,,11,2021, 
292,67136,Abhay,abhay@xyz.com,,,2021-08-29 20:04:05,0,,yes,yes,no,,,,8,2021, 
294,67132,Manan,manan@xyz.com,,,2021-08-25 00:59:03,0,"SRM Institute of science and technology, Chennai, India",yes,yes,no,,,,8,2021, 
295,67130,REJOICE,rejoice@xyz.com,,,2021-08-23 23:47:42,0,Reva university,yes,yes,no,,,,8,2021, 
296,67128,susmita,susmita@xyz.com,,,2021-08-21 09:28:40,0,,yes,yes,no,,,,8,2021, 
297,67126,Ishwari ,ishwari@xyz.com,,,2021-08-21 09:18:52,0,,yes,yes,no,,,,8,2021, 
298,67124,Sohail ,sohail@xyz.com,,,2021-08-17 12:48:49,0,,yes,yes,no,,,,8,2021, 
299,67122,Suraj,suraj@xyz.com,,,2021-08-17 12:45:14,0,,yes,yes,no,,,,8,2021, 
300,67120,Kalyani,kalyani@xyz.com,,,2021-08-16 16:01:52,0,,yes,yes,no,,,,8,2021, 
301,67112,NIYATI  ,niyati@xyz.com,,,2021-07-30 10:33:36,0,,yes,yes,no,,,,7,2021, 
303,67108,Purushottam,purushottam@xyz.com,,,2021-07-27 18:27:43,0,,yes,yes,no,,,,7,2021, 
304,67106,Abhijit,abhijit@xyz.com,,,2021-07-27 09:43:27,0,,yes,yes,no,,,,7,2021, 
305,67104,sarthak,sarthak@xyz.com,,,2021-07-26 21:32:59,0,Vidyalankar institute of Technology,yes,yes,no,,,,7,2021, 
307,67100,Asis ,asis@xyz.com,,,2021-07-21 18:23:23,0,,yes,yes,no,,,,7,2021, 
309,67096,Bhagirath,bhagirath@xyz.com,,,2021-07-19 15:55:00,0,,yes,yes,no,,,,7,2021, 
310,67094,Prathamesh,prathamesh@xyz.com,,,2021-07-17 15:18:16,0,Engineering pte ltd,yes,yes,no,,,,7,2021, 
313,67088,SATHYA,sathya@xyz.com,,,2021-07-13 23:22:12,0,,yes,yes,no,,,,7,2021, 
315,67024,aman,aman@xyz.com,,,2021-06-29 21:00:59,0,"B.K Birla College of Arts, Science and Commerce ,kalyan",yes,yes,no,,,,6,2021, 
316,67022,Mukesh ,mukesh@xyz.com,,,2021-06-29 17:37:53,0,ARTISTIC ART FORUM P LTD,yes,yes,no,,,,6,2021, 
317,67020,Archana,archana@xyz.com,,,2021-06-28 21:52:51,0,,yes,yes,no,,,,6,2021, 
318,67016,Gauri,gauri@xyz.com,,,2021-06-26 16:53:45,0,,yes,yes,no,,,,6,2021, 
